team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Hungary,0.0,4.0,19.0,19.0,40.0,48.0,51.0,55.0,55.0,55.0,61.0,76.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,HUN,Hungary,UEFA,https://countryflagsapi.com/png/hungary
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,ISL,Iceland,UEFA,https://countryflagsapi.com/png/iceland
Indonesia,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,INA,Indonesia,AFC,https://countryflagsapi.com/png/indonesia
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,12.0,12.0,16.0,17.0,23.0,,,,
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,IRQ,Iraq,AFC,https://countryflagsapi.com/png/iraq
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ISR,Israel,UEFA,https://countryflagsapi.com/png/israel
Italy,0.0,12.0,18.0,22.0,29.0,29.0,34.0,34.0,43.0,49.0,54.0,64.0,68.0,78.0,84.0,92.0,98.0,106.0,111.0,112.0,112.0,112.0,ITA,Italy,UEFA,https://countryflagsapi.com/png/italy
Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,16.0,16.0,16.0,,,,
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,JAM,Jamaica,CONCACF,https://countryflagsapi.com/png/jamaica
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,11.0,14.0,17.0,23.0,27.0,JPN,Japan,AFC,https://countryflagsapi.com/png/japan
